NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,ASSY: MANUAL FILL LID WITH VENT,107-127,1,1,,13502-045-A,,,,,,,,,,
,,SEEFLEX 040E SLEEVE 250DIA/450,BFM-040E-250-450,1,2,,13502-045-A,,,,,,,,,,
,,COILED EARTH CABLE,107-697,1,3,,13502-045-A,,,,,,,,,,
,,FULL NUT M6x1,MF-NF-M6-SS,2,4,,13502-045-A,,,,,,,,,,
,,FAB: FILL UNIT TOP SPIGOT,13502-058,1,5,,13502-045-A,,,,,,,,,,
,07_Assy-Parts,FAB: GUIDE TUBE ASSEMBLY,104-833,1,1,,104-832-H,,,,,,,,,,
,,SUPPORT PLATE FABRICATION ASSY,104-833,1,2,,104-832-H,,,,,,,,,,
,,PNEUMASEAL I/D 384MM (PR. CLAMP),PRS-564-6-13349-5,1,3,,104-832-H,,,,,,,,,,
,,FILTER RING,104-843,1,4,,104-832-H,,,,,,,,,,
,,480 CONE LEVELLING PROBE,104-842,1,5,,104-832-H,,,,,,,,,,
,,6 SETSCREW M8 X 25 STAINLESS,MF-SS-M8X25-SS,8,6,,104-832-H,,,,,,,,,,
,,BONDED WASHER METRIC M8 NITRILE,03-41-TA21290MN,8,7,,104-832-H,,,,,,,,,,
,,"STR.ADAPTOR 1/4""BSPT-8MM",101250828,2,8,,104-832-H,,,,,,,,,,
,,"6MM O/D - 1/8"" NPTF ELBOW",FE-6-125N,1,9,,104-832-H,,,,,,,,,,
,,THREADED BUSH,104-844,1,10,,104-832-H,,,,,,,,,,
,,RETAINING BOSS,104-845,1,11,,104-832-H,,,,,,,,,,
,,SPRING WASHER 12 DIA ST.ST,MF-WS-12DIA-SS,1,12,,104-832-H,,,,,,,,,,
,,SETSCREW M12X60LG ST STL,MF-SS-M12X60-SS,1,13,,104-832-H,,,,,,,,,,
,,COMPRESSION SPRING,D23850,1,14,,104-832-H,,,,,,,,,,
,,FAB: CONE CLAMPING FRAME (S13),13502-010,1,1,,13502-050-A,,,,,,,,,,
,,ASSY: 480 CONE CLAMP,104-832,1,2,,13502-050-A,,,,,,,,,,
,,8MM BULKHEAD ELBOW,100490800,4,3,,13502-050-A,,,,,,,,,,
,,6MM BULKHEAD ELBOW,100490600,2,4,,13502-050-A,,,,,,,,,,
,,8MM BULKHEAD FITTING SS (P-IN),38160800,2,5,,13502-050-A,,,,,,,,,,
