NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,clamp left 40x20x70,4.1301.0014,2,3,,5.1301.0007,,,,,,,,,,
,,"cover Ø27,1x10",4.1301.0016,1,4,,5.1301.0007,,,,,,,,,,
,,adjusting ring Ø30 light,3.0000.0187,2,100,,5.1301.0007,,,,,,,,,,
,mounting for angular gearbox HK - standart parts,base plate 120x10x170,4.1301.0009,2,1,,5.1301.0021,,,,,,,,,,
,,distance plate HK 90x10x160,4.1301.0011,4,2,,5.1301.0021,,,,,,,,,,
,,bevel gear,3.0000.0658,2,100,,5.1301.0021,,,,,,,,,,
,Flap pusher left,mounting plate 30x20x120,4.1302.0160,1,1,,5.1302.0260,,,,,,,,,,
,,holder plate 80x15x100,4.1302.0161,1,2,,5.1302.0260,,,,,,,,,,
,,sword holder 8x110x129,4.1302.1463,1,3,,5.1302.0260,,,,,,,,,,
,,"distance piece 80x20x46,5",4.1302.1464,1,4,,5.1302.0260,,,,,,,,,,
,,sword left 22x10x220,4.1302.1465,1,5,,5.1302.0260,,,,,,,,,,
,,sword left 22x10x220,4.1302.1467,1,6,,5.1302.0260,,,,,,,,,,
,Flap pusher right,mounting plate 30x20x120,4.1302.0160,1,1,,5.1302.0261,,,,,,,,,,
,,holder plate 80x15x100,4.1302.0161,1,2,,5.1302.0261,,,,,,,,,,
,,sword holder 8x110x129,4.1302.1463,1,3,,5.1302.0261,,,,,,,,,,
,,"distance piece 80x20x46,5",4.1302.1464,1,4,,5.1302.0261,,,,,,,,,,
,,sword left 22x10x220,4.1302.1466,1,5,,5.1302.0261,,,,,,,,,,
,,sword left 22x10x220,4.1302.1468,1,6,,5.1302.0261,,,,,,,,,,
,Pressure rolls left HK-II,pressure roll Ø30xX,4.1302.0106,5,1,,5.1302.0287,,,,,,,,,,
,,shaft pressure roll Ø10xX,4.1302.0107,11,2,,5.1302.0287,,,,,,,,,,
,,roller ledge up 15x4x370,4.1302.1182,1,3,,5.1302.0287,,,,,,,,,,
,,roller ledge bottom left 50x4x370,4.1302.1183,1,4,,5.1302.0287,,,,,,,,,,
,,slide bearing GFM-1012-17,3.0001.2940,10,100,,5.1302.0287,,,,,,,,,,
,Pressure rolls right HK-II,pressure roll Ø30xX,4.1302.0106,5,1,,5.1302.0288,,,,,,,,,,
,,shaft pressure roll Ø10xX,4.1302.0107,11,2,,5.1302.0288,,,,,,,,,,
,,roller ledge up 15x4x370,4.1302.1182,1,3,,5.1302.0288,,,,,,,,,,
,,roller ledge bottom left 50x4x370,4.1302.1184,1,4,,5.1302.0288,,,,,,,,,,
,,slide bearing GFM-1012-17,3.0001.2940,10,100,,5.1302.0288,,,,,,,,,,
,top flat detector left HK-II-B,adjustment holder 50x25x255,4.1302.1915,1,1,,5.1302.0337,,,,,,,,,,
,,distance 30x5x50,4.1302.0330,1,2,,5.1302.0337,,,,,,,,,,
,,shaft holder 30x25x50,4.1302.0331,2,3,,5.1302.0337,,,,,,,,,,
,,base holder 35x20x170,4.1302.1916,1,4,,5.1302.0337,,,,,,,,,,
,,flap detector Ø15x405,4.1302.1179,2,5,,5.1302.0337,,,,,,,,,,
,,"clamping lever, adjustable",3.0000.0426,1,100,,5.1302.0337,,,,,,,,,,
,top flat detector right HK-II-B,adjustment holder 50x25x255,4.1302.1915,1,1,,5.1302.0338,,,,,,,,,,
,,distance 30x5x50,4.1302.0330,1,2,,5.1302.0338,,,,,,,,,,
,,shaft holder 30x25x50,4.1302.0331,2,3,,5.1302.0338,,,,,,,,,,
,,base holder 35x20x170,4.1302.1916,1,4,,5.1302.0338,,,,,,,,,,
,,flap detector Ø15x405,4.1302.1179,2,5,,5.1302.0338,,,,,,,,,,
,,"clamping lever, adjustable",3.0000.0426,1,100,,5.1302.0338,,,,,,,,,,
,"folding box top guide, standard parts",bearing block 80x40x95,4.1401.0008,2,2,,5.1401.0003,,,,,,,,,,
,,shaft holder 79x14x110,4.1401.0009,2,3,,5.1401.0003,,,,,,,,,,
,,bearing distance I SW13 SW13x15,4.1401.0010,8,4,,5.1401.0003,,,,,,,,,,
,,bearing distance II SW13 SW13x15,4.1401.0011,8,5,,5.1401.0003,,,,,,,,,,
,,frame bearing plate 60x15x100,4.1401.0012,3,6,,5.1401.0003,,,,,,,,,,
,,bearing block 60x20x60,4.1401.0013,5,7,,5.1401.0003,,,,,,,,,,
,,mounting plate 40x20x100,4.1401.0014,2,8,,5.1401.0003,,,,,,,,,,
,,alignment plate 40x15x100,4.1401.0015,1,9,,5.1401.0003,,,,,,,,,,
,,middle wall plate 30x20x90,4.1401.0016,2,10,,5.1401.0003,,,,,,,,,,
,,shaft guide 40x20x116,4.1401.0017,2,11,,5.1401.0003,,,,,,,,,,
,,spur gear SN 2030,4.1401.0020,1,14,,5.1401.0003,,,,,,,,,,
,,hexagonal stopper SW70x30,4.7206.0092,1,17,,5.1401.0003,,,,,,,,,,
,,spur gear SN 2030 D=20H7,4.1401.0023,1,19,,5.1401.0003,,,,,,,,,,
,,"frame bearing plate, proximity switch 60x15x100",4.1401.0119,1,22,,5.1401.0003,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0000.0491,5,101,,5.1401.0003,,,,,,,,,,
,,grooved ball bearing 6000-2RS,3.0000.0481,16,102,,5.1401.0003,,,,,,,,,,
,,slide bearing BV-Ø20-Ø26-Ø32-3-20,3.0000.0406,2,103,,5.1401.0003,,,,,,,,,,
,,guard ring I 42,3.0000.0168,5,110,,5.1401.0003,,,,,,,,,,
,,guard ring A20,3.0000.4300,2,111,,5.1401.0003,,,,,,,,,,
,intake roller for top guide HK,holder 1,4.1401.0397,1,1,,5.1401.0224,,,,,,,,,,
,,holder 2,4.1401.0383,1,2,,5.1401.0224,,,,,,,,,,
,,holder,4.1401.0237,1,3,,5.1401.0224,,,,,,,,,,
,,intake roller Ø100x15,4.1401.0241,1,4,,5.1401.0224,,,,,,,,,,
,,"clamping lever, adjustable GN 300-63-M8-25-OR",3.0000.4786,2,100,,5.1401.0224,,,,,,,,,,
,,"clamping lever, adjustable GN 300-45-M6-32-OR",3.0000.0425,1,101,,5.1401.0224,,,,,,,,,,
,,UPS-fitting screw Ø 10 M8x16,3.0000.0199,1,102,,5.1401.0224,,,,,,,,,,
,"box guide, various parts, Hub 200 Festo",tubular arch I + II,4.1401.0558,1,1,,5.1401.0266,,,,,,,,,,
,,guide shaft Ø20x400,4.1401.0018,2,12,,5.1401.0266,,,,,,,,,,
,,adjustment shaft Ø20x2200,4.1401.0019,1,13,,5.1401.0266,,,,,,,,,,
,,distance I 120x20x70,4.1401.0559,2,15,,5.1401.0266,,,,,,,,,,
,,rectangular pipe 60x20x2,2.0000.0323,0,16,,5.1401.0266,,,,,,,,,,
,,distance II 120x20x80,4.1401.0560,2,18,,5.1401.0266,,,,,,,,,,
,,standard cylinder,3.0001.3932,1,105,,5.1401.0266,,,,,,,,,,
,,swivel flange SNG 40,3.0000.4402,1,106,,5.1401.0266,,,,,,,,,,
,,bearing block LSNG 40,3.0000.4400,1,107,,5.1401.0266,,,,,,,,,,
,,"clevis SG-M 12x1,25",3.0000.1035,1,109,,5.1401.0266,,,,,,,,,,
,"top guide tube, insertion area",top guide tube right,4.1401.0728,1,1,,5.1401.0271,,,,,,,,,,
,,top guide tube left,4.1401.0729,1,2,,5.1401.0271,,,,,,,,,,
,,guide block 40x20x80,4.1401.0586,2,3,,5.1401.0271,,,,,,,,,,
,,cover 3x20x50,4.1401.0587,2,4,,5.1401.0271,,,,,,,,,,
,,round guide,4.1401.0726,1,5,,5.1401.0271,,,,,,,,,,
,,distance for cable holder 40x15x90,4.1401.0622,1,6,,5.1401.0271,,,,,,,,,,
,,holder for light sensor D=12 2x50x75,4.7208.0054,1,7,,5.1401.0271,,,,,,,,,,
,,pressure spring,3.0000.1902,2,100,,5.1401.0271,,,,,,,,,,
,"top flap lifting device flap folder, stand",top flap lifting device,4.1402.0015,1,1,,5.1402.0006,,,,,,,,,,
,,adjustment holder,4.1402.0016,1,2,,5.1402.0006,,,,,,,,,,
,,"clamping lever, adjustable GN 300-45-M6-20-OR",3.0000.0423,1,100,,5.1402.0006,,,,,,,,,,
,,"clamping lever, adjustable GN 300-63-M8-40-OR",3.0000.0426,1,101,,5.1402.0006,,,,,,,,,,
,top flap lifting device insertion conveyor left,"washer Ø30 Ø 5,5",4.0002.0013,2,1,,5.1402.0044,,,,,,,,,,
,,flap guide 20x20x90,4.1302.0103,1,2,,5.1402.0044,,,,,,,,,,
,,base plate left 80x10x110,4.1302.1451,1,3,,5.1402.0044,,,,,,,,,,
,,clamp 30x15x110,4.1402.0010,1,4,,5.1402.0044,,,,,,,,,,
,,rework washer Ø30x5,4.1402.0011,2,5,,5.1402.0044,,,,,,,,,,
,,round rod horizontal Ø20x245,4.1402.0013,2,6,,5.1402.0044,,,,,,,,,,
,,round rod vertical Ø20x230,4.1402.0014,2,7,,5.1402.0044,,,,,,,,,,
,,ledge 40x10x840,4.1402.0028,1,8,,5.1402.0044,,,,,,,,,,
,,holder for top flap lifting device HK-II-B,4.1402.0133,2,11,,5.1402.0044,,,,,,,,,,
,,shaft - horizontal adjustment Ø15x1065,4.1402.0055,1,12,,5.1402.0044,,,,,,,,,,
,,shaft - vertical adjustment Ø15x1220,4.1402.0056,1,13,,5.1402.0044,,,,,,,,,,
,,base plate right 110x10x130,4.1402.0057,1,14,,5.1402.0044,,,,,,,,,,
,,plate for digital display 70x10x70,4.1402.0059,2,15,,5.1402.0044,,,,,,,,,,
,,housing 70x70x35,4.4401.0009,2,16,,5.1402.0044,,,,,,,,,,
,,spur gear SNB 2020 D=15,4.4401.0107,4,17,,5.1402.0044,,,,,,,,,,
,,knurled knob Ø14 Ø40x100,4.4401.0237,2,18,,5.1402.0044,,,,,,,,,,
,,housing 70x70x35,4.4401.0447,2,19,,5.1402.0044,,,,,,,,,,
,,slide bearing GFM-1517-09,3.0001.2719,4,100,,5.1402.0044,,,,,,,,,,
,,slide bearing GSM-2023-15,3.0001.2720,8,101,,5.1402.0044,,,,,,,,,,
,,"clamping lever, adjustable GN 300-45-M6-32-OR",3.0000.0425,2,102,,5.1402.0044,,,,,,,,,,
,,digital display DA04-02-100-2-I-14,3.0000.4440,1,103,,5.1402.0044,,,,,,,,,,
,,digital display DA04-02-100-2-E-14,3.0000.6474,1,104,,5.1402.0044,,,,,,,,,,
,,adjusting ring Ø20 light,3.0000.0185,2,106,,5.1402.0044,,,,,,,,,,
,,"washer Ø 8,4",3.0000.8788,2,200,,5.1402.0044,,,,,,,,,,
,,cap nut M8 A2,3.0000.4334,2,201,,5.1402.0044,,,,,,,,,,
,holder inner cover flap standard parts,guide 30x10x170,4.1403.0255,2,1,,5.1403.0034,,,,,,,,,,
,,holder 20x5x280,4.1403.0256,2,2,,5.1403.0034,,,,,,,,,,
,,cam 20x6x168,4.1403.0257,2,3,,5.1403.0034,,,,,,,,,,
,,spring steel gluing 20x2x300 (Laser),4.1403.0540,2,4,,5.1403.0034,,,,,,,,,,
,,"clamping lever, adjustable GN 300-45-M6-20-OR",3.0000.0423,2,100,,5.1403.0034,,,,,,,,,,
,,"washer Ø6,4",3.0000.4321,2,101,,5.1403.0034,,,,,,,,,,
,bottom flap guide central adjustment left,flap guide 20x20x90,4.1302.0103,2,1,,5.1403.0187,,,,,,,,,,
,,flap guide insertion side welding part,4.1403.0563,1,2,,5.1403.0187,,,,,,,,,,
,,sheet holder infeeding side 30x12x155,4.1403.1297,1,3,,5.1403.0187,,,,,,,,,,
,,guiding sheet 3x100x168,4.1403.0463,1,4,,5.1403.0187,,,,,,,,,,
,"flap guide HK-II-B-10""/L",folding sheet adjusting side 3x78x1334,4.1403.1386,1,1,,5.1403.0191,,,,,,,,,,
,,folding sheet insertion side 3x78x584,4.1403.1387,1,2,,5.1403.0191,,,,,,,,,,
,,guiding sheet adjusting side 3x78x1240,4.1403.1205,1,3,,5.1403.0191,,,,,,,,,,
,,"guiding sheet gluing nozzle adjusting side 10"" 3x80x345",4.1403.1206,1,4,,5.1403.0191,,,,,,,,,,
,,"guiding sheet gluing nozzle insertion side 10"" 3x80x345",4.1403.1207,1,5,,5.1403.0191,,,,,,,,,,
,,"top flap lifting sheet, insertion side",4.1402.0190,1,6,,5.1403.0191,,,,,,,,,,
,HK box erection aid,holder block 30x30x81,4.1601.0001,2,1,,5.1601.0001,,,,,,,,,,
,,flat rod 25x6x300,4.1601.0002,2,2,,5.1601.0001,,,,,,,,,,
,,T-slot nut M6,3.0000.0045,4,100,,5.1601.0001,,,,,,,,,,
,,drive shaft Ø100x231,4.2001.0011,1,1,,5.2001.0117,,,,,,,,,,
,,vacuum distributor Ø150x22,4.2001.0012,1,2,,5.2001.0117,,,,,,,,,,
,,adjustment flange Ø150x10,4.2001.0013,1,3,,5.2001.0117,,,,,,,,,,
,,"twin flange Ø107,5x66",4.2001.0015,1,4,,5.2001.0117,,,,,,,,,,
,,carrier pin M10x35,4.2001.0016,4,5,,5.2001.0117,,,,,,,,,,
,,"adjustment flange, top Ø75x39",4.2001.0024,1,6,,5.2001.0117,,,,,,,,,,
,,base plate 92x20x170,4.2001.0029,1,7,,5.2001.0117,,,,,,,,,,
,,gearbox suspension 90x70x165,4.2001.0030,1,8,,5.2001.0117,,,,,,,,,,
,,bearing flange Ø80x22,4.2001.0031,1,9,,5.2001.0117,,,,,,,,,,
,,guide shaft Ø20x290,4.2001.0556,4,10,,5.2001.0117,,,,,,,,,,
,,knurled lock nut Ø60x25,4.2001.0036,1,11,,5.2001.0117,,,,,,,,,,
,,knurled disc Ø80x25,4.2001.0037,1,12,,5.2001.0117,,,,,,,,,,
,,tension disc Ø28x5,4.2001.0038,1,13,,5.2001.0117,,,,,,,,,,
,,octagonal holder 25x20x95,4.2001.0042,1,14,,5.2001.0117,,,,,,,,,,
,,holder rotary box erector 145x15x197,4.2001.0558,1,15,,5.2001.0117,,,,,,,,,,
,,holder vacuum valve 120x3x222,4.2001.0102,1,16,,5.2001.0117,,,,,,,,,,
,,"adjustment flange, bottom Ø75x37,5",4.2001.0121,1,18,,5.2001.0117,,,,,,,,,,
,,"gearbox plate, top 120x15x150",4.2001.0123,1,19,,5.2001.0117,,,,,,,,,,
,,distance block 100x20x65,4.2001.0135,1,20,,5.2001.0117,,,,,,,,,,
,,threaded spindle Tr30x6x240,4.2001.0117,1,21,,5.2001.0117,,,,,,,,,,
,,holding plate 50x15x120,4.2001.0160,2,22,,5.2001.0117,,,,,,,,,,
,,console side wall 90x12x570,4.2001.0557,2,23,,5.2001.0117,,,,,,,,,,
,,rotation disc Ø437x15,4.2001.0270,1,24,,5.2001.0117,,,,,,,,,,
,,vacuum control,4.2001.0271,1,25,,5.2001.0117,,,,,,,,,,
,,toothed pulley AT 10/20,4.2001.0272,3,26,,5.2001.0117,,,,,,,,,,
,,"flanged pulley Ø68x2,5",4.2001.0273,6,27,,5.2001.0117,,,,,,,,,,
,,"suction arm flange Ø78x136,5",4.2001.0274,3,28,,5.2001.0117,,,,,,,,,,
,,distance piece Ø30xA,4.2001.0275,1,29,,5.2001.0117,,,,,,,,,,
,,distance piece Ø30xA,4.2001.0275,1,30,,5.2001.0117,,,,,,,,,,
,,distance piece Ø30xA,4.2001.0275,1,31,,5.2001.0117,,,,,,,,,,
,,distance piece Ø30xA,4.2001.0275,1,32,,5.2001.0117,,,,,,,,,,
,,washer Ø28x5,4.2001.0276,3,33,,5.2001.0117,,,,,,,,,,
,,"guard cover for lid t=1,25 1,25x122x688",4.2001.0278,2,34,,5.2001.0117,,,,,,,,,,
,,"guard protective cover t=1,25 1,25x220x440",4.2001.0279,2,35,,5.2001.0117,,,,,,,,,,
,,adjustment ledge 20x10x105,4.2001.0280,2,36,,5.2001.0117,,,,,,,,,,
,,adjustment pin Ø8x40,4.2001.0281,2,37,,5.2001.0117,,,,,,,,,,
,,threaded grommet rework,4.2001.0479,5,38,,5.2001.0117,,,,,,,,,,
,,bearing vacuum arm Ø80x63,4.2001.0496,3,39,,5.2001.0117,,,,,,,,,,
,,trapezoidal thread nut WFRM 3846 TR30x6,4.2001.0506,1,40,,5.2001.0117,,,,,,,,,,
,,head plate 92x20x170,4.2001.0514,1,41,,5.2001.0117,,,,,,,,,,
,,needle bearing - cardan shaft cardan shaft S=470 X=130,4.2001.0516,1,42,,5.2001.0117,,,,,,,,,,
,,support 20x10x120,4.4101.0220,2,43,,5.2001.0117,,,,,,,,,,
,,washer Ø40x5,4.7206.0079,1,44,,5.2001.0117,,,,,,,,,,
,,bolt for octagonal stopper Ø30x29,4.7206.0078,1,45,,5.2001.0117,,,,,,,,,,
,,hexagonal stopper SW70x30,4.7206.0092,1,46,,5.2001.0117,,,,,,,,,,
,,"bevel gear H1 i=1,5 Ba70 Hohlwelle",3.0000.0659,1,100,,5.2001.0117,,,,,,,,,,
,,"bevel gear H1 i=1,5 BA70 hollow shaft",3.0000.0666,1,101,,5.2001.0117,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0001.1888,3,102,,5.2001.0117,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0001.2240,1,103,,5.2001.0117,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0001.2239,1,104,,5.2001.0117,,,,,,,,,,
,,grooved ball bearing 4204 A,3.0001.2236,3,105,,5.2001.0117,,,,,,,,,,
,,shaft sealing ring A 20x35x7-NB,3.0000.0567,6,106,,5.2001.0117,,,,,,,,,,
,,shaft sealing ring A 26x47x7-NB,3.0000.4754,3,107,,5.2001.0117,,,,,,,,,,
,,guard ring I 55,3.0000.0288,1,108,,5.2001.0117,,,,,,,,,,
,,slide bearing GSM-2023-20,3.0001.1227,8,109,,5.2001.0117,,,,,,,,,,
,,toothed belt 16AT10/780,3.0000.0945,3,110,,5.2001.0117,,,,,,,,,,
,,"o-ring 38,00-2,5 72 NBR 872",3.0000.0461,3,111,,5.2001.0117,,,,,,,,,,
,,pressure spring D-217G,3.0000.0330,4,112,,5.2001.0117,,,,,,,,,,
,,shim ring 20x28x1,3.0000.0067,1,113,,5.2001.0117,,,,,,,,,,
,,fitting key 6x6x25,3.0000.4428,3,115,,5.2001.0117,,,,,,,,,,
,,fitting key 6x6x45,3.0000.4838,3,116,,5.2001.0117,,,,,,,,,,
,,star knob screw GN 636.4-45-M8-20-DOR,3.0001.4144,1,117,,5.2001.0117,,,,,,,,,,
,,mounting angle 90°,3.0000.1026,3,118,,5.2001.0117,,,,,,,,,,
,,threaded grommet GT 149 MSV,3.0000.9914,3,119,,5.2001.0117,,,,,,,,,,
,"product leveller, various parts 10""/L",distance plate 100x25x90,4.2005.0311,1,1,,5.2001.0120,,,,,,,,,,
,,holder plate 90x12x770,4.2005.0347,2,2,,5.2001.0120,,,,,,,,,,
,,"cantilever plate 30x15x117,5",4.2005.0349,2,3,,5.2001.0120,,,,,,,,,,
,,excentric lever X=116,4.2005.0066,2,4,,5.2001.0120,,,,,,,,,,
,,base plate 60x10x120,4.2005.0135,1,5,,5.2001.0120,,,,,,,,,,
,,change plate 60x10x85,4.2005.0229,1,6,,5.2001.0120,,,,,,,,,,
,,distance ledge 80x10x250,4.2005.0234,2,7,,5.2001.0120,,,,,,,,,,
,,pressure plate 10x90x300,4.2005.0403,1,8,,5.2001.0120,,,,,,,,,,
,,standard cylinder DSNU-25-100-PPV-A,3.0000.4108,1,100,,5.2001.0120,,,,,,,,,,
,,mounting kit SMBR 25,3.0000.1013,1,101,,5.2001.0120,,,,,,,,,,
,,proximity switch SMEO-4U-S-LED-24-B,3.0000.1080,1,102,,5.2001.0120,,,,,,,,,,
,,cardan shaft S=580 X=130,3.0000.0644,1,104,,5.2001.0120,,,,,,,,,,
,,cardan shaft S=580 X=130,3.0000.0644,1,105,,5.2001.0120,,,,,,,,,,
,"product leveller, standard parts",tension roller Ø40x30,4.2005.0017,1,1,,5.2005.0105,,,,,,,,,,
,,holder for tension roller SW19x46,4.2005.0016,1,2,,5.2005.0105,,,,,,,,,,
,,tension flap 30x10x115,4.2005.0015,1,3,,5.2005.0105,,,,,,,,,,
,,drive shaft Ø59x231,4.2005.0039,1,4,,5.2005.0105,,,,,,,,,,
,,washer Ø25x3,4.2005.0032,4,5,,5.2005.0105,,,,,,,,,,
,,crank bolt SW19 SW19x48,4.2005.0013,2,6,,5.2005.0105,,,,,,,,,,
,,toothed pulley,4.2005.0028,2,7,,5.2005.0105,,,,,,,,,,
,,distance ring Ø25x7,4.2005.0011,2,8,,5.2005.0105,,,,,,,,,,
,,crankshaft bearing Ø78x40,4.2005.0014,2,9,,5.2005.0105,,,,,,,,,,
,,deflection shaft Ø59x104,4.2005.0041,1,10,,5.2005.0105,,,,,,,,,,
,,crank ledge 30x20x160,4.2005.0042,1,11,,5.2005.0105,,,,,,,,,,
,,base plate 100x15x230,4.2005.0043,1,12,,5.2005.0105,,,,,,,,,,
,,gearbox plate 100x15x100,4.2005.0044,1,13,,5.2005.0105,,,,,,,,,,
,,"washer Ø30x4,5",4.2005.0045,2,14,,5.2005.0105,,,,,,,,,,
,,bolt for octagonal stopper Ø30x29,4.7206.0078,1,15,,5.2005.0105,,,,,,,,,,
,,washer Ø40x5,4.7206.0079,1,16,,5.2005.0105,,,,,,,,,,
,,hexagonal stopper SW70x30,4.7206.0092,1,17,,5.2005.0105,,,,,,,,,,
,,octagonal holder 25x20x95,4.2001.0042,1,18,,5.2005.0105,,,,,,,,,,
,,distance block 100x20x65,4.2001.0135,1,19,,5.2005.0105,,,,,,,,,,
,,knurled disc Ø80x25,4.2001.0037,1,20,,5.2005.0105,,,,,,,,,,
,,knurled lock nut Ø60x25,4.2001.0036,1,21,,5.2005.0105,,,,,,,,,,
,,trapezoidal thread nut WFRM 3846 TR30x6,4.2001.0506,1,22,,5.2005.0105,,,,,,,,,,
,,head plate 92x20x170,4.2001.0514,1,23,,5.2005.0105,,,,,,,,,,
,,guide shaft Ø20x290,4.2001.0556,4,24,,5.2005.0105,,,,,,,,,,
,,threaded spindle Tr30x6x240,4.2001.0117,1,25,,5.2005.0105,,,,,,,,,,
,,bearing flange Ø80x22,4.2001.0031,1,26,,5.2005.0105,,,,,,,,,,
,,gearbox suspension 90x70x165,4.2005.0089,1,27,,5.2005.0105,,,,,,,,,,
,,base plate 92x20x170,4.2001.0029,1,28,,5.2005.0105,,,,,,,,,,
,,guide rod Ø16x175,4.2005.0273,2,29,,5.2005.0105,,,,,,,,,,
,,mounting plate 30x15x205,4.2005.0348,1,30,,5.2005.0105,,,,,,,,,,
,,guide housing 65x38x135,4.2005.0050,1,31,,5.2005.0105,,,,,,,,,,
,,bridge 50x10x120,4.2005.0093,1,32,,5.2005.0105,,,,,,,,,,
,,"distance washer Ø40x4,4",4.2005.0055,1,33,,5.2005.0105,,,,,,,,,,
,,"adjustment flange, top Ø75x39",4.2001.0024,1,34,,5.2005.0105,,,,,,,,,,
,,"adjustment flange, bottom Ø75x38,5",4.2001.0025,1,35,,5.2005.0105,,,,,,,,,,
,,toothed belt 25 T10 / 560,3.0000.0946,1,100,,5.2005.0105,,,,,,,,,,
,,linear ball bearing KH 1630 PP,3.0000.0437,4,102,,5.2005.0105,,,,,,,,,,
,,compensating coupling,3.0000.1569,1,103,,5.2005.0105,,,,,,,,,,
,,grooved ball bearing 6001-2RS,3.0000.0554,2,104,,5.2005.0105,,,,,,,,,,
,,grooved ball bearing 6006-2RS,3.0000.0493,4,105,,5.2005.0105,,,,,,,,,,
,,grooved ball bearing 6003-2RS,3.0000.0490,4,106,,5.2005.0105,,,,,,,,,,
,,grooved ball bearing 6204-2RS,3.0000.0552,1,107,,5.2005.0105,,,,,,,,,,
,,slide bearing GSM-2023-20,3.0001.1227,8,108,,5.2005.0105,,,,,,,,,,
,,fitting key 6x6x36,3.0000.0281,1,109,,5.2005.0105,,,,,,,,,,
,,bevel gear L1 i=1 Ba40,3.0000.0664,1,110,,5.2005.0105,,,,,,,,,,
,,"bevel gear H1 i=1,0 Ba70",3.0000.0660,1,111,,5.2005.0105,,,,,,,,,,
,,fitting key 6x6x25,3.0000.4428,1,112,,5.2005.0105,,,,,,,,,,
,mounting colour sensor,support ledge 2 8x95x267,4.2301.0982,1,1,,5.2301.0236,,,,,,,,,,
,,mounting block 40x30x60,4.2301.0983,2,2,,5.2301.0236,,,,,,,,,,
,,adjusting ledge 40x15x426,4.2301.0984,1,3,,5.2301.0236,,,,,,,,,,
,,adapter for sensor 50x15x50,4.2301.0985,1,4,,5.2301.0236,,,,,,,,,,
,,angle welding part,4.2301.0986,1,5,,5.2301.0236,,,,,,,,,,
,,bolt Ø20x120,4.2301.0989,1,6,,5.2301.0236,,,,,,,,,,
,,"clamping lever, adjustable GN 300-45-M6-20-OR",3.0000.0423,1,100,,5.2301.0236,,,,,,,,,,
,"deflector - product insertion, standard parts",holder for insertion deflector 30x20x71,4.3001.0146,1,5,,5.3001.0054,,,,,,,,,,
,,bearing block 40x40x35,4.3001.0147,1,6,,5.3001.0054,,,,,,,,,,
,,"distance Ø20x17,5",4.3001.0150,1,8,,5.3001.0054,,,,,,,,,,
,,pneumatic cylinder SB-D-0-00-0-25/10,3.0000.2501,1,100,,5.3001.0054,,,,,,,,,,
,,clevis SG-M8,3.0001.0376,1,101,,5.3001.0054,,,,,,,,,,
,,grooved ball bearing 6002-2RS,3.0000.0489,2,103,,5.3001.0054,,,,,,,,,,
,,"shim ring 15x25x1,0",3.0000.0295,1,104,,5.3001.0054,,,,,,,,,,
,,guard ring I 32,3.0000.4327,2,105,,5.3001.0054,,,,,,,,,,
,"product pusher IGUS, standart parts",chain suspension 29x15x80,4.3001.2130,24,3,,5.3001.0447,,,,,,,,,,
,,thread bolt SW13x20,4.3001.1565,12,4,,5.3001.0447,,,,,,,,,,
,,"distance ring Ø15x9,5",4.3001.1566,12,5,,5.3001.0447,,,,,,,,,,
,,guide carriage block 69x46x75,4.3001.2282,12,6,,5.3001.0447,,,,,,,,,,
,,crossbeam for guiding roll 25x8x69,4.3001.2041,12,7,,5.3001.0447,,,,,,,,,,
,,overload cam 30x25x62,4.3001.1269,12,8,,5.3001.0447,,,,,,,,,,
,,support bearing 69x30x42,4.3001.1324,12,9,,5.3001.0447,,,,,,,,,,
,,mounting 40x20x60,4.3001.1272,12,10,,5.3001.0447,,,,,,,,,,
,,link pin SW13 SW13x22,4.3001.0047,12,11,,5.3001.0447,,,,,,,,,,
,,swivel plate 15x6x50,4.3001.0051,12,12,,5.3001.0447,,,,,,,,,,
,,plate 6x15x87,4.3001.2275,12,13,,5.3001.0447,,,,,,,,,,
,,lock block 25x10x51,4.3001.2276,12,14,,5.3001.0447,,,,,,,,,,
,,"spring holder SW13 SW13x21,5",4.3001.2277,12,15,,5.3001.0447,,,,,,,,,,
,,spring holder SW13 SW13x21,4.3001.2279,12,16,,5.3001.0447,,,,,,,,,,
,,sliding foil JUMO-01-10,3.0001.2585,120,100,,5.3001.0447,,,,,,,,,,
,,grooved ball bearing 6000-2RS,3.0000.0481,24,101,,5.3001.0447,,,,,,,,,,
,,slide bearing BJ-Ø8-Ø12-6,3.0000.0411,12,102,,5.3001.0447,,,,,,,,,,
,,"fitting screw 10x16x0,5",3.0000.0202,12,103,,5.3001.0447,,,,,,,,,,
,"product pusher IGUS, various parts","guide rail top WS-10-40 L=640,",4.3001.2281,12,1,,5.3001.0466,,,,,,,,,,
,,guide rail bottom rework,4.3001.2118,12,2,,5.3001.0466,,,,,,,,,,
,,tension shaft Ø12x65,4.3001.0065,36,12,,5.3001.0466,,,,,,,,,,
,,connection piece 20x20x45,4.3001.1023,36,13,,5.3001.0466,,,,,,,,,,
